,date,fips,cases,deaths,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,FIPS,Density per square mile of land area - Population,Total_age0to17,Total_age85plusr,Total_age65plus,Total_age18to64,Percent of adults with a bachelor's degree or higher 2014-18,Less than a high school diploma 2014-18,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),MD and DO Student Enrollment per 100000 Population AY 2018-2019 (AAMC),Total nurse practitioners (2019),ICU Beds,transit_scores - population weighted averages aggregated from town/city level to county,fips code,state,county,2013 NCHS scheme,High_risk_by_deaths,High_risk_by_cases
18,7/25/20,13037,180,6,50.4,59.5,59.4,66.7,77.8,80.8,81.6,81.8,81.0,72.6,55.5,54.4,13037,23.9,1111.0,156.0,995.0,4246.0,9.4,1217,4.3,33393.0,228.7,28.6,2.9074530810000003,0.0,0.0,13037,GA ,Calhoun County ,Noncore ,0,0
19,7/25/20,13039,486,4,53.6,61.4,61.2,68.0,78.0,81.1,82.3,82.2,80.5,75.2,58.3,58.1,13039,82.4,13088.0,550.0,7319.0,33270.0,24.5,2709,4.2,56555.0,228.7,28.6,24.56916861,5.0,0.0,13039,GA ,Camden County ,Micropolitan ,0,1
20,7/25/20,13043,171,1,51.9,58.5,59.2,66.3,78.0,79.2,82.1,82.1,79.2,71.3,54.3,53.5,13043,45.3,2710.0,174.0,1952.0,6174.0,14.1,1683,3.4,35841.0,228.7,28.6,4.959880602,6.0,0.0,13043,GA ,Candler County ,Noncore ,0,0
21,7/25/20,13045,1511,42,44.6,52.8,53.5,62.1,73.0,75.0,79.4,79.3,77.7,65.9,49.3,49.3,13045,221.5,28076.0,1461.0,16080.0,73965.0,20.6,11868,4.0,52502.0,228.7,28.6,54.06663498,18.0,0.0,13045,GA ,Carroll County ,Large fringe metro ,1,1
22,7/25/20,13047,447,8,41.9,50.0,50.0,61.8,72.1,75.2,79.1,78.9,78.8,64.4,48.3,48.1,13047,394.3,15433.0,1201.0,11954.0,40033.0,20.8,5727,3.4,55807.0,228.7,28.6,30.85964841,0.0,0.0,13047,GA ,Catoosa County ,Medium metro ,1,1
23,7/25/20,13049,254,3,53.4,61.9,61.3,68.3,78.0,81.2,82.5,82.7,79.9,74.2,57.6,57.6,13049,15.7,2492.0,228.0,2072.0,8404.0,10.5,2417,4.3,40499.0,228.7,28.6,5.935744892000001,0.0,0.0,13049,GA ,Charlton County ,Noncore ,0,0
24,7/25/20,13051,4154,48,52.4,59.9,60.0,67.2,78.8,80.9,83.4,82.8,80.7,73.7,56.4,56.1,13051,621.7,61279.0,5239.0,44478.0,183438.0,33.2,19951,3.7,54165.0,228.7,28.6,132.3710475,78.0,3637930182.0,13051,GA ,Chatham County ,Medium metro ,1,1
25,7/25/20,13053,507,1,48.4,56.9,56.2,64.8,74.9,78.5,80.7,80.9,80.1,69.6,52.9,52.2,13053,45.3,2337.0,59.0,516.0,7831.0,33.4,350,5.6,46869.0,228.7,28.6,4.890306788,0.0,,13053,GA ,Chattahoochee County ,Medium metro ,0,1
26,7/25/20,13055,134,2,42.4,51.0,50.7,61.8,72.1,74.9,78.8,78.4,78.3,64.7,48.6,48.5,13055,83.0,5555.0,518.0,4354.0,14881.0,9.8,4598,4.1,39513.0,228.7,28.6,11.34693984,0.0,0.0,13055,GA ,Chattooga County ,Micropolitan ,0,0
27,7/25/20,13057,2419,52,42.1,49.8,50.9,60.4,71.8,73.8,79.0,78.0,77.3,65.1,48.4,47.8,13057,508.3,62093.0,2706.0,35380.0,156676.0,37.0,13931,3.1,82733.0,228.7,28.6,116.3297061,15.0,522439361.0,13057,GA ,Cherokee County ,Large fringe metro ,1,1
28,7/25/20,13059,1439,15,44.3,50.8,52.6,62.2,74.1,75.8,80.5,79.0,77.9,66.7,50.9,49.2,13059,979.1,21989.0,1587.0,13959.0,91382.0,42.7,8950,4.0,42112.0,228.7,28.6,58.28180114,104.0,0.0,13059,GA ,Clarke County ,Small metro ,1,1
29,7/25/20,13061,69,2,50.2,58.8,58.8,66.0,76.5,80.3,81.4,81.5,81.0,71.9,54.2,52.8,13061,16.3,588.0,82.0,774.0,1525.0,7.9,443,7.7,30239.0,228.7,28.6,1.321444749,0.0,0.0,13061,GA ,Clay County ,Noncore ,0,0
30,7/25/20,13063,3948,92,45.0,52.8,54.0,62.8,74.6,76.1,80.6,80.9,79.7,67.0,50.8,50.0,13063,1832.5,80559.0,1894.0,26997.0,182059.0,19.5,26249,4.9,46059.0,228.7,28.6,132.5632909,34.0,3811207271.0,13063,GA ,Clayton County ,Large fringe metro ,1,1
31,7/25/20,13065,157,4,52.4,61.1,59.9,67.0,77.0,80.4,82.0,82.3,78.8,73.4,55.9,56.0,13065,8.5,1693.0,80.0,1077.0,3878.0,11.1,1312,4.6,37593.0,228.7,28.6,3.04293893,0.0,0.0,13065,GA ,Clinch County ,Noncore ,0,0
32,7/25/20,13067,10009,287,43.3,51.1,52.5,62.1,73.5,75.2,79.9,79.6,78.8,66.0,49.5,48.8,13067,2026.4,178546.0,8948.0,92777.0,485542.0,46.5,40881,3.4,78603.0,228.7,28.6,346.43411150000003,119.0,2656884172.0,13067,GA ,Cobb County ,Large fringe metro ,1,1
33,7/25/20,13069,1184,22,51.0,60.2,59.4,67.1,77.5,80.5,82.3,81.7,79.4,71.4,54.3,54.0,13069,73.7,10534.0,549.0,5930.0,26629.0,13.2,6311,4.5,39480.0,228.7,28.6,19.72463407,10.0,0.0,13069,GA ,Coffee County ,Micropolitan ,1,1
34,7/25/20,13071,1405,21,50.2,60.1,58.5,66.1,76.6,80.0,81.0,80.8,79.3,71.4,55.1,54.3,13071,83.6,11917.0,770.0,7054.0,26621.0,12.5,7704,3.8,38633.0,228.7,28.6,20.86848251,10.0,0.0,13071,GA ,Colquitt County ,Micropolitan ,1,1
35,7/25/20,13073,1439,18,47.4,53.6,55.3,65.0,76.6,77.7,82.2,81.0,78.9,69.6,51.8,50.8,13073,427.6,39147.0,2025.0,20833.0,94311.0,35.1,7185,3.5,82184.0,228.7,28.6,70.62245644,0.0,136091469.0,13073,GA ,Columbia County ,Medium metro ,1,1
36,7/25/20,13075,334,5,50.4,60.2,58.6,66.0,76.4,79.9,80.9,80.9,79.1,71.4,54.9,54.5,13075,75.8,4301.0,266.0,2839.0,10022.0,15.5,2261,3.8,38827.0,228.7,28.6,7.855432899,0.0,0.0,13075,GA ,Cook County ,Noncore ,0,1
37,7/25/20,13077,1168,17,45.8,54.3,54.7,63.3,74.3,76.3,80.6,81.0,79.3,67.1,51.0,50.5,13077,288.8,35765.0,1679.0,20242.0,89857.0,29.8,10498,3.4,70974.0,228.7,28.6,66.76522925,19.0,0.0,13077,GA ,Coweta County ,Large fringe metro ,1,1
38,7/25/20,13079,81,0,47.9,55.2,55.6,64.0,75.6,78.6,80.7,81.4,79.5,69.5,52.5,51.7,13079,38.9,2537.0,156.0,2316.0,7465.0,10.3,1447,4.2,48004.0,228.7,28.6,5.638225292,0.0,0.0,13079,GA ,Crawford County ,Small metro ,0,0
