date,county,state,fips,cases,deaths
7/25/20,Tift,Georgia,13277,1150,34
7/25/20,Toombs,Georgia,13279,488,6
7/25/20,Towns,Georgia,13281,98,1
7/25/20,Treutlen,Georgia,13283,76,2
7/25/20,Troup,Georgia,13285,2069,52
7/25/20,Turner,Georgia,13287,205,18
7/25/20,Twiggs,Georgia,13289,67,2
7/25/20,Union,Georgia,13291,167,6
7/25/20,Unknown,Georgia,,2057,7
7/25/20,Upson,Georgia,13293,440,45
7/25/20,Walker,Georgia,13295,453,14
7/25/20,Walton,Georgia,13297,737,32
7/25/20,Ware,Georgia,13299,983,19
7/25/20,Warren,Georgia,13301,45,0
7/25/20,Washington,Georgia,13303,326,1
7/25/20,Wayne,Georgia,13305,502,2
7/25/20,Webster,Georgia,13307,36,2
7/25/20,Wheeler,Georgia,13309,80,1
7/25/20,White,Georgia,13311,253,5
7/25/20,Whitfield,Georgia,13313,2571,22
7/25/20,Wilcox,Georgia,13315,151,18
7/25/20,Wilkes,Georgia,13317,161,3
7/25/20,Wilkinson,Georgia,13319,155,10
7/25/20,Worth,Georgia,13321,397,23
